IWPR--SPIE, Ei Compendex, Scopus 2018	SPIE--2018 the 3rd International Workshop on Pattern Recognition (IWPR 2018)--Ei, Scopus and ISI	Jinan, China
GECCO 2018	Genetic and Evolutionary Computation Conference	Kyoto, Japan
QUALICO 2018	QUALICO 2018 - International Quantitative Linguistics Conference 	Wroclaw, Poland 
EDC 2018	13th Annual Education and Development Conference	Bangkok, Thailand
COLT 2018	Conference on Learning Theory	Stockholm, Sweden
COLT 2018	Computational Learning Theory	Stockholm, Sweden
ECCV 2018	European Conference on Computer Vision	Munich, Germany
RO-MAN  2018	27th IEEE International Conference on Robot and Human Interactive Communication 	Nanjing and Tai'an, China
SPECOM 2018	20th International Conference on Speech and Computer	Leipzig, Germany
CST 2018	5th International Conference on Foundations of Computer Science & Technology	Dubai, UAE
SDM 2018	SIAM International Conference on Data Mining	San Diego, USA
AISTATS 2018	The 21st International Conference on Artificial Intelligence and Statistics	Playa Blanca, Spain
ITNG 2018	15th International Conference on Information Technology- New Generations	Las Vegas, USA
2nd BDTL Workshop 2017	2nd International Workshop on Big Data Transfer Learning in conjunction with IEEE BigData Conference 2017	Boston, USA
DRCN 2018	14th International Conference on the Design of Reliable Communication Networks (DRCN 2018)	Chatillon, France
FAT* 2018	2018 Conference on Fairness, Accountability, and Transparency	New York City, USA
ACM--ICMCE 2017	ACM--2017 6th International Conference on Mechatronics and Control Engineering (ICMCE 2017)--Ei Compendex, ISI Web of Science and Scopus	St. Petersburg, Russia
ACMLC--EI Compendex, Scopus 2017	2017 Asia Conference on Machine Learning and Computing (ACMLC 2017)--EI Compendex, Scopus	Singapore
IREHI 2017	International Rural and Elderly Health Informatics PhD Symposium	Lome, Togo
IEEE-SITIS2017: MIRA 2017	Multimedia Information Retrieval and Applications	Jaipur, India
ISCMI - IEEE 2017	2017 4th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2017)--IEEE Xplore, Ei Compendex	Pointe aux Piments, Mauritius
IALP 2017	The 21th International Conference on Asian Language Processing 	Singapore
HFR 2017	10th International Workshop on Human-Friendy Robotics (Springer SPAR Proceedings)	Napoli, Italy
ACM SAC-RS 2018	ACM SIGAPP Symposium On Applied Computing 2018 - Track on Recommender Systems: Theory, User Interactions and Applications	Pau, France
ICMV 2017	2017 The 10th International Conference on Machine Vision (ICMV 2017) - SPIE	Vienna, Austria
MMM 2018	The 24th International Conference on MultiMedia Modeling	Bangkok, Thailand
JISIC 2017	VIII Jornadas de Ingeniería de Sistemas Informáticos y de Computación -JISIC 2017	Quito, Ecuador
PRASA-RobMech 2017	Symposium of the Pattern Recognition Association of South Africa (PRASA) and Conference of Robotics and Mechatronics (RobMech)	Bloemfontein, South Africa
TAAI 2017	The 22nd Conference on Technologies and Applications of Artificial Intelligence [Deadline Extended]	Taipei, Taiwan
AMLTA 2018	the 3rd  International Conference on Advanced Machine Learning Technologies and Applications;	Cairo, Egypt
DMIP 2017	The 1st ICDM Workshop on Data Mining in Practice: Automation and Cost	New Orleans, USA
MLHPC 2017	MLHPC '17 : Machine Learning in High Performance Computing Environments Workshop	Denver, USA
IEEE icSoftComp 2017	2017 International Conference on Soft Computing and its Engineering Applications	Changa, India
SHEIQL-2017	[GOODTECH-CONFERENCE] Special session: Smart Home and E-Health to improve the Quality of Life	Pisa, Italy
MLPMEA 2017	Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2017	Cancun, Mexico
ICCMA - Ei 2017	2017 The 5th International conference on Control, Mechatronics and Automation   (ICCMA 2017)--Ei Compendex and Scopus	Edmonton, Canada
IML 2017	International Conference on Internet of Things and Machine Learning	Liverpool, UK
