SMDB 2014	9th International Workshop on Self-Managing Database Systems	Chicago, USA
CloudDB 2014	The 6th International workshop on Cloud Data Management	Chicago, USA
GDM 2014	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Chicago, USA
EDBT/ICDT Tutorials 2014	EDBT/ICDT 2014 Call for Tutorials	Athens, Greece
DMS 2013	Fifth International conference on Database Management Systems	Zurich, Switzerland
DBDBD 2013	The Dutch-Belgian Database Day	Rotterdam, Netherlands
EDBT 2014	International Conference on Extending Database Technology	Athens, Greece
SITIS 2013	Special Session on CLOUD and VIRTUALIZED ENVIRONMENT Meet BIG DATA	Kyoto Terrsa, Japan
FoIKS 2014	Eighth International Symposium on  Foundations of Information and Knowledge Systems	Bordeaux, France
ICECIT 2013	International Conference  on  Emerging Computation & Information Technologies	Tumkur, India
DaEng 2013	The First International Conference on Advanced Data and Information Engineering - LNEE Springer	Kuala Lumpur, Malaysia
APCCM 2014	Tenth Asia-Pacific Conference on Conceptual Modelling	Auckland, New Zealand
APCCM 2013	The Ninth Asia-Pacific Conference on Conceptual Modelling	Adelaide, Australia
COMAD 2013	19th International Conference on Management of Data	Ahmedabad, India
ICIA 2013	The Second International Conference on Informatics and Applications	Lodz, Poland
TIDM 2013	The First International Workshop on TeraScale In-Core Data Mining	Dallas, USA
BiDaDA 2013	1st Workshop on Biological Data mining and Database Applications	Dallas, USA
SIN 2013	The 6th International Conference on Security of Information and Networks (SIN 2013)	Aksaray, Turkey
EDBT/ICDT Workshops 2014	EDBT/ICDT 2014 Call for Workshop Proposals	Athens, Greece
ICDE 2014	IEEE International Conference on Data Engineering 	Chicago, USA
SoCC 2013	ACM Symposium on Cloud Computing	San Jose, USA
BDSAV 2013	The 1st International Workshop on Big Data Storage, Analytics, and Visualization	Washington DC, USA
CloudDB 2013	The Fifth International workshop on Cloud Data Management	San Francisco, USA
RWVW 2013	International Workshop on Predicting Real World Behaviors from Virtual World Data	Boston, USA
DOLAP 2013	16th International Workshop on Data Warehousing and OLAP	Burlingame, USA
NoCoDA 2013	2nd Intl Workshop on Non-Conventional Data-Access	San Francisco, USA
DiPP 2013	International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	Veliko Tarnovo, Bulgaria
DBPL 2013	14th International Symposium on Database Programming Languages	Trento, Italy
BIRTE 2013	Seventh International Workshop on Real-Time Business Intelligence	Trento, Italy
IDEAS 2013	17th International Database Engineering & Applications Symposium	Barcelona, Spain
DAB 2013	2nd International Workshop on Data and Artifact-Centric BPM	Beijing, China
DIM 2013	The Second IEEE International Workshop on Data Integration and Mining 	San Francisco, USA
ISWC-InUse 2013	The 12th International Semantic Web Conference - In Use Track	Sydney, Australia
ODBASE 2013	The 12th International Conference on Ontologies, DataBases, and Applications of Semantics	Graz, Austria
CLEI 2013	XXXIX Latin-American Conference on Computer Sciences 	Naiguata, Venezuela
CIESC 2013	XXI Iberoamerican Congress on Higher Education in Computing	Naiguata, Venezuela
BiDaTA 2013	Adbis Special session on Big Data: New Trends and Applications	Genoa, Italy
CSE 2013	The International Workshop on Cloud and Service Engineering	Aalborg, Denmark
ICDIM 2013	Eighth International Conference on Digital Information Management	Islamabad, Pakistan
RSmeetDB 2013	3rd Workshop on Recommender Systems meet Databases	Prague, Czech Republic
MEDI 2013	Third International Conference On Model and Data Engineering	Amantea, Italy
SoEA4EE 2013	The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	Vancouver, Canada
SEBD  2013	 21th Italian Symposium on Advanced Database Systems	Roccella Jonica, Italy
IMDM 2013	First Workshop on In-Memory Data Management - Applications and Architectures	Koblenz, Germany
GRADES 2013	Graph Data-management Experiences and Systems	New York City, USA
CPS 2013	Special Session on Cooperative Problem Solving	Craiova, Romania
DEXA 2013	24th International Conference on Database and Expert Systems Applications	Prague, Czech Republic
DaWaK 2013	15th International Conference on Data Warehousing and Knowledge Discovery	Prague, Czech Republic
WOD 2013	2nd International Workshop on Open Data	Paris, France
DEOS 2013	Workshop on Data Extraction and Object Search	Oxford, UK
SSTD 2013	13th International Symposium on Spatial and Temporal Databases	Munich, Germany
VLDB 2013	International Conference on Very Large Data Bases	Trento, Italy
miproBIS 2013	Business Intelligence Systems 	Opatija, Croatia
DILS 2013	The Ninth International Conference on Data Integration in the Life Sciences 2013	Montreal, Canada
iCICS 2013	The 4th International Conference on Information and Communication Systems	Irbid, Jordan
BNCOD 2013	29th British National Conference on Databases	Oxford, UK
ICWS 2013	IEEE 20th International Conference on Web Services 	Santa Clara, USA
SYRCoDIS 2013	The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	Kazan, Russia
DMC 2013 at BTW 2013	1st Workshop on Data Management in the Cloud	Magdeburg, Germany
BDAS 2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	Ustron, Poland
PAIS 2013	6th International Workshop on Privacy and Anonymity in the Information Society	Genoa, Italy
DaMEN 2013	The Second International Workshop on Data Management for Emerging Network Infrastructure	Sydney, Australia
GraphQ 2013	The Second International Workshop on Querying Graph Structured Data	Genoa, Italy
EnDM 2013	Workshop on Energy Data Management at EDBT	Genoa, Italy
EnDM@EDBT 2013	Workshop on Energy Data Management	Genoa, Italy
BEWEB 2013	4th International Workshop on Business IntelligencE and the Web	Genoa, Italy
BIGProv 2013	International Workshop on Managing and Querying Provenance Data at Scale	Genoa, Italy
PODS 2013	32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	New York City, USA
BDI 2013	International Symposium on Biomedical Data infrastructure	Kuala Lumpur, Malaysia
SMDB 2013	8th International Workshop on Self-Managing Database Systems	Brisbane, Australia
SIGMOD 2013	ACM SIGMOD International Conference on Management of Data	New York City, USA
ACIIDS 2013	Special Session on Intelligent Recommended Systems	Kuala Lumpur, Malaysia
DASFAA 2013	The 18th International Conference on Database Systems for Advanced Applications	Wuhan, China
PrivDB 2013	First International Workshop on Privacy-Preserving Data Publication and Analysis	Brisbane, Australia
CICCI 2013	2nd International Conference on Informatics and Computer Sciences	La Habana, Cuba
EDBT 2013	International Conference on Extending Database Technology	Genoa, Italy
DBDBD 2012	The Dutch Belgian Database Day	Brussels, Belgium
GDM 2013	The 4th International Workshop on Graph Data Management: Techniques and Applications	Brisbane, Australia
ASIIS (ACM SAC) 2013	ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	Coimbra, Portugal
ACM - DTTA Track 2013	ACM Scientific Applications Conference - Database Theory, Technology and Applications Track 	Coimbra, Portugal
PDAC 2012	3rd International Workshop on Petascale Data Analytics: Challenges and Opportunities	Salt Lake City, USA
NetSys PhD Forum 2013	The Conference on Networked Systems PhD Forum	Stuttgart, Germany
ICDT 2013	16th International Conference on Database Theory	Genoa, Italy
COMAD 2012	18th International Conference on Management of Data	Pune, India
